Ingested app: 'Sanu Ek Pal Chain - Raid' (row 9515) in  0.0437 seconds
Ingested app: 'Photo Editor by Aviary' (row 2930) in  0.0437 seconds
Ingested app: 'Stick War: Legacy' (row 1998) in  0.0455 seconds
Ingested app: 'EZ Ag Mobile' (row 5097) in  0.0412 seconds
Ingested app: 'EU VAT Checker' (row 9908) in  0.044 seconds
Ingested app: 'Hustle Castle: Fantasy Kingdom' (row 1857) in  0.044 seconds
Ingested app: 'Tattoo Name On My Photo Editor' (row 12) in  0.044 seconds
Ingested app: 'Pistolet FN GP35 expliqu\xe9' (row 10669) in  0.044 seconds
Ingested app: "Band O'Clock" (row 4439) in  0.0462 seconds
Ingested app: 'Snapchat' (row 2610) in  0.0423 seconds
Ingested app: 'Contractor City Construction - Heavy Logistics' (row 7071) in  0.0422 seconds
Ingested app: 'Nero AirBurn' (row 7178) in  0.0462 seconds
Ingested app: 'Lynda - Online Training Videos' (row 792) in  0.0422 seconds
Ingested app: 'Lottery Ticket Checker - Florida Results & Lotto' (row 10591) in  0.0463 seconds
Ingested app: 'Garden Fruit Legend' (row 2044) in  0.044 seconds
Ingested app: 'Dungeon Hunter Champions: Epic Online Action RPG' (row 8412) in  0.044 seconds
Ingested app: 'Moto Display' (row 3236) in  0.0441 seconds
Ingested app: 'Z War-Zombie Modern Combat' (row 4830) in  0.0441 seconds
Ingested app: 'Sam.BN Pro' (row 6508) in  0.044 seconds
Ingested app: 'Hole19: Golf GPS App, Rangefinder & Scorecard' (row 3008) in  0.044 seconds
Ingested app: 'YouTube Kids' (row 3911) in  0.0441 seconds
Ingested app: 'AE Coin Mania : Arcade Fun' (row 5002) in  0.048 seconds
Ingested app: 'Angry Shark 2016' (row 10423) in  0.0439 seconds
Ingested app: 'Axe Knight' (row 5797) in  0.044 seconds
Ingested app: 'CA UIM Mobile' (row 7089) in  0.044 seconds
Ingested app: 'DEER HUNTER 2018' (row 5728) in  0.0441 seconds
Ingested app: 'Flashlight HD LED' (row 3294) in  0.0441 seconds
Ingested app: 'Blood Pressure Log - MyDiary' (row 6587) in  0.048 seconds
Ingested app: 'BR Video Player' (row 6681) in  0.044 seconds
Ingested app: "Texas Hold'em Poker" (row 9590) in  0.044 seconds
Ingested app: 'Superhero Doctor 3 ER Surgery' (row 9748) in  0.052 seconds
Ingested app: 'NBC Sports' (row 3021) in  0.0441 seconds
Ingested app: 'Recipes for hair and face tried' (row 1294) in  0.0444 seconds
Ingested app: 'Dentist Surgery ER Emergency Doctor Hospital Games' (row 9734) in  0.0483 seconds
Ingested app: 'Warfarin Dose Calculator' (row 2473) in  0.0443 seconds
Ingested app: 'Anti Mosquito simulation' (row 2285) in  0.0483 seconds
Ingested app: 'EG CrossPad' (row 9321) in  0.0483 seconds
Ingested app: 'I am extremely Rich' (row 5357) in  0.0443 seconds
Ingested app: 'Blood pressure' (row 6625) in  0.0503 seconds
Ingested app: 'Master E.K' (row 9496) in  0.0463 seconds
Ingested app: 'CSHS BX' (row 6959) in  0.0463 seconds
Ingested app: 'Car Driving Theory Test BC' (row 5977) in  0.0504 seconds
Ingested app: 'Dots puzzle' (row 7333) in  0.0464 seconds
Ingested app: 'Glam - Premium Dating App' (row 577) in  0.0504 seconds
Ingested app: 'Basketball FRVR - Shoot the Hoop and Slam Dunk!' (row 2094) in  0.0441 seconds
Ingested app: 'DW Amharic by AudioNow Digital' (row 8981) in  0.044 seconds
Ingested app: 'FIFA 16 Soccer' (row 9164) in  0.0495 seconds
Ingested app: 'Zowi App' (row 6649) in  0.0455 seconds
Ingested app: 'Homescapes' (row 1888) in  0.0455 seconds
Ingested app: 'Basket Manager 2017 Free' (row 6465) in  0.1565 seconds
Ingested app: 'Gmail' (row 451) in  0.1739 seconds
Ingested app: 'DRAGON BALL LEGENDS' (row 1840) in  0.1739 seconds
Ingested app: 'Compas BP Store' (row 6613) in  0.1644 seconds
Ingested app: 'Ramfer - CNC Lathe G-code Tool' (row 4165) in  0.1725 seconds
Ingested app: 'Download Instant DP (Full HD)' (row 8681) in  0.214 seconds
Ingested app: 'NB|AZ Business Mobile Banking' (row 5886) in  0.0471 seconds
Ingested app: 'Ambulance Rescue Simulator 17' (row 9452) in  0.0472 seconds
Ingested app: 'FreePrints \u2013 Free Photos Delivered' (row 2803) in  0.0431 seconds
Ingested app: 'DH News' (row 8422) in  0.0471 seconds
Ingested app: 'Force LTE Only' (row 4215) in  0.0431 seconds
Ingested app: 'Au Pair Legend' (row 5655) in  0.0471 seconds
